TIME_SCRAPED_PST,PRODUCT_TYPE,PRODUCT_ID,URL,TITLE,PRICE,RATING,NO_OF_REVIEWS,HEIGHT,WIDTH,DEPTH,WEIGHT_KG,PROCESSOR_BRAND,PROCESSOR_FAMILY,PROCESSOR_GENERATION,CPU_CACHE,CPU_CORES,CPU_THREADS,CPU_SPEED,GRAPHICS_BRAND,GRAPHICS_FAMILY,GRAPHICS_RAM,GRAPHICS_RAM_TYPE,RAM_MEMORY,RAM_TYPE,RAM_SPEED,STORAGE_SIZE,STORAGE_TYPE,STORAGE_OTHERS,DISPLAY_SIZE,DISPLAY_RESOLUTION,DISPLAY_REFRESH_RATE,DISPLAY_OTHERS,WIRELESS,POWER,PORTS,SLOTS,CHASSIS,CASE,KEYBOARD,TOUCHPAD,CAMERA,PALMREST,OPTICAL_DRIVE,OPERATING_SYSTEM,HASH_ID,COSMOS_DB,WEIGHT,MICROSOFT_OFFICE,HOME_AND_SMALL_BUSINESS_SECURITY_SOLUTIONS,PROTECT_YOUR_PURCHASE_-_VIEW_SUPPORT_OFFERS_BELOW,ACCIDENTAL_DAMAGE_SERVICE,AUDIO_AND_SPEAKERS,PRIMARY_BATTERY,REGULATORY,BATTERY_LIFE,EXTENDED_SERVICE,SERVICES:EXTENDED_SERVICE,WEIGHT_LBS,DELL_SERVICES:_EXTENDED_SERVICE,WEIGHT_LB,DELL_SERVICES:EXTENDED_SERVICE,CARRYING_CASE,MOUSE,MONITOR,STAND
2024-08-10T00:12:44.000000,desktop,precision-3260-workstation,https://www.dell.com/en-us/shop/desktop-computers/precision-3260-compact-workstation/spd/precision-3260-workstation/s106dpt3260us_vp?ref=variantstack,Precision 3260 Compact Workstation,$ 1573.38,4.3 out of 5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202408100712445264b18354cac7542e,Y,,,,,,,,,,,,,,,,,,,
2024-08-10T00:12:36.000000,desktop,precision-r7960-workstation,https://www.dell.com/en-us/shop/desktop-computers/precision-7960-rack-workstation/spd/precision-r7960-workstation/xctopr7960us_vp?ref=variantstack,,"$ 5,425.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024081007123642527a471e7babb425,Y,,,,,,,,,,,,,,,,,,,
2024-08-10T00:12:32.000000,desktop,precision-t7875-workstation,https://www.dell.com/en-us/shop/desktop-computers/precision-7875-tower-workstation/spd/precision-t7875-workstation/xctopt7875mtus_vp?ref=variantstack,,"$ 3,119.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202408100712327589226a3f9e7494c2,Y,,,,,,,,,,,,,,,,,,,
2024-08-10T00:12:29.000000,desktop,precision-3280-workstation,https://www.dell.com/en-us/shop/desktop-computers/precision-3280-compact-workstation/spd/precision-3280-workstation/xctopt3280cffusvp?ref=variantstack,,$ 899.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240810071229458b01783798fe3478,Y,,,,,,,,,,,,,,,,,,,
2024-08-10T00:12:21.000000,desktop,precision-t7960-workstation,https://www.dell.com/en-us/shop/desktop-computers/precision-7960-tower-workstation/spd/precision-t7960-workstation/xctopt7960us_vp?ref=variantstack,,"$ 3,635.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240810071221579691dc6d4bdab463,Y,,,,,,,,,,,,,,,,,,,
2024-08-10T00:12:13.000000,desktop,optiplex-7420-35w-aio,https://www.dell.com/en-us/shop/desktop-computers/new-optiplex-all-in-one/spd/optiplex-7420-35w-aio/s001do7420aio35wus_vp?ref=variantstack,OptiPlex All-in-One,$ 1119,4.8 out of 5.0,5.0,13.95,21.26,2.28,,Intel,Core i3,14100T,12 MB,4.0,8.0,4.4 GHz,Intel,,,,8 GB,DDR5,,256 GB,SSD,"M.2 2230, PCIe NVMe, Class 35",,,,,"IntelÂ Wi-Fi 6E AX211, 2x2, 802.11ax, BluetoothÂ wireless card","130W AC adapter, 7.4 mm barrel","1 USB 3.2 Gen 2 Type-A Port with PowerShare port, 1 Universal Audio Port, 1 USB 3.2 Gen 2 Type-CÂ Port, 1 DisplayPort++ 1.4a (up to 5120 x 3200 @ 60Hz), 2 USB 3.2 Gen 1 Type-A Ports, 2 USB 2.0 Type-A Ports with SmartPower, 1 RJ45 10/100/1000 Mbps Ethernet Port, 1 Audio Line-out Port, re-askable, 1 Power Adapter Port","1 M.2 2230 slot for WiFi and Bluetooth combo card, 1 M.2 2230/2280 slot for solid-state drive, 1 SD 4.0 Card Slot, 1 Kensington Security Cable Slot",,,Dell Pro Wireless Keyboard and Mouse - KM5221W Black - US English,,,,,"Windows 11 Pro, English, Brazilian Portuguese, French, Spanish",202408100712139881d86a9b7c9654bd,Y,16.55 to 20.25 lb (7.51 to 9.19 kg),Activate Your Microsoft 365 For A 30 Day Trial,No anti-virus software,"Basic Onsite Service after remote diagnosis with Hardware-Only Support, 36 Month(s)",,,,"Â , Â ",,,,,"Basic Onsite Service after remote diagnosis with Hardware-Only Support, 36 Month(s)",,,,,,
2024-08-10T00:12:08.000000,desktop,optiplex-7420-plus-aio,https://www.dell.com/en-us/shop/desktop-computers/new-optiplex-all-in-one/spd/optiplex-7420-plus-aio/s003do7420aiopus_vp?ref=variantstack,OptiPlex All-in-One,$ 1449,4.7 out of 5.0,42.0,13.95,21.26,2.28,,Intel,Core i5,14500 vPro,24 MB,14.0,20.0,5.0 GHz,Intel,,,,16 GB,DDR5,,512 GB,SSD,"M.2 2230, PCIe NVMe, Class 35",,,,,"IntelÂ Wi-Fi 6E AX211, 2x2, 802.11ax, BluetoothÂ wireless card","160W Plus Bronze internal power supply unit (PSU), 240W Plus Platinum internal power supply unit (PSU)","1 USB 3.2 Gen 2 Type-C, Â Port, 1 HDMI-in 1.4b Port (up to 1920 x 1080 @ 60Hz), 1 HDMI-out 2.1 Port (up to 4096 x 2160 @ 60Hz), 1 DisplayPort++ 1.4a (up to 5120 x 3200 @ 60Hz), 1 RJ45 10/100/1000 Mbps Ethernet Port, 2 USB 3.2 Gen 1 Type-A Ports with SmartPower On, 3 USB 3.2 Gen 2 Type-A Ports, 1 Audio Line-out Port, re-taskable, 1 USB 3.2 Gen 2 Type-A Port with PowerShare port, 1 Universal Audio Port","1 M.2 2230 slot for WiFi and Bluetooth combo card, 2 M.2 2230/2280 slots for solid-state drive, 1 SD 4.0 Card Slot, 1 Kensington Security Cable Slot",,,Dell Pro Wireless Keyboard and Mouse - KM5221W Black - US English,,,,,"Windows 11 Pro, English, Brazilian Portuguese, French, Spanish",20240810071208490fc0c28307910406,Y,6.33 to 6.76,Activate Your Microsoft 365 For A 30 Day Trial,No anti-virus software,"No Warranty Upgrade, 36 Month(s)",,,,"Â , Â ",,,,,,,"No Warranty Upgrade, 36 Month(s)",,,,
2024-08-10T00:12:02.000000,desktop,optiplex-7020t-desktop,https://www.dell.com/en-us/shop/desktop-computers/new-optiplex-tower/spd/optiplex-7020t-desktop/s005do7020mtus_vp?ref=variantstack,OptiPlex Tower,$ 889,4.5 out of 5.0,13.0,12.77,6.06,11.50,,Intel,Core i5,14th Gen (14500 vPro),24 MB,14.0,20.0,5.0 GHz,Intel,,,,8 GB,DDR5,,256 GB,SSD,"M.2 2230, PCIe NVMe, Class 35",,,,,"IntelÂ Wi-Fi 6E AX211, 2x2, 802.11ax, BluetoothÂ wireless card, external antenna","180W 80 PLUS Bronze internal power supply unit, 300W 80 PLUS Platinum internal power supply unit","2 USB 2.0 (480 Mbps) ports, 1 USB 3.2 Gen 1 (10 Gbps) Type-C,  port, 1 USB 3.2 Gen 1 (5 Gbps) port, 1 Universal Audio Jack, 2 USB 2.0 (480 Mbps) ports with SmartPower On, 2 USB 3.2 Gen 1 (5 Gbps) Type-A Ports, 1 DisplayPortâ¢ 1.4a Port, 1 RJ-45 (1 Gbps) Ethernet Port, 1 Video Port (VGA/DisplayPortâ¢ 1.4a/HDMI 2.1) (optional), 1 Serial Port (optional)","2 SATA 3.0 slots for hard-disk drive, 2 Full-height Gen3 PCIe x1 slots, 1 M.2 2230/2280 slot for solid-state drive, 1 Full-height Gen3 PCIe x16 slot, 1 SATA 2.0 slot for slim optical drive, 1 M.2 2230 slot for WiFi and Bluetooth combo card",,,No Keyboard Selected,,,,No Optical Drive MT with filler cover,"Windows 11 Pro, English, Brazilian Portuguese, French, Spanish",202408100712023200d01cd3524c5453,Y,5.18 to 6.37,Activate Your Microsoft 365 For A 30 Day Trial,No anti-virus software,"Basic Onsite Service after remote diagnosis with Hardware-Only Support, 36 Month(s)",,,,,,,,,"Basic Onsite Service after remote diagnosis with Hardware-Only Support, 36 Month(s)",,,,,,
2024-08-10T00:11:56.000000,desktop,precision-5860-workstation,https://www.dell.com/en-us/shop/desktop-computers/precision-5860-tower-workstation/spd/precision-5860-workstation/xctopt5860us_vp?ref=variantstack,,"$ 2,019.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240810071156355df184216d651442,Y,,,,,,,,,,,,,,,,,,,
2024-08-10T00:11:51.000000,desktop,inspiron-3020-desktop,https://www.dell.com/en-us/shop/desktop-computers/inspiron-desktop/spd/inspiron-3020-desktop/useithbts3020gmvn?ref=variantstack,Inspiron Desktop,$ 949.99,4.4 out of 5.0,3419.0,12.77,6.06,11.54,4.94,Intel,Core i7,13th Gen (13700),30 MB,16.0,24.0,5.1 GHz,NVIDIA,GeForce RTX 3050,8 GB,GDDR6,16 GB,DDR4,3200 MT/s,1 TB,SSD,"M.2, PCIe NVMe",,,,,"Realtek Wi-Fi 6 RTL8852BE, 2x2, 802.11ax, MU-MIMO, BluetoothÂ wireless card","180 W Bronze internal Power Supply Unit (PSU), 300 W Bronze internal Power Supply Unit (PSU)","1 Global headset jack, 2 USB 2.0 ports, 1 USB 3.2 Gen 1 Type-C,  port, *,  , 1 USB 3.2 Gen 1 Type-A port, 1 Audio line-out port, 1 HDMI 1.4b port, *,  , 1 DisplayPort 1.4, 2 USB 3.2 Gen 1 Type-A ports, 2 USB 2.0 ports, 1 RJ-45 Ethernet port, 1 AC power-supply port, 1 Kensington Cable Lock port, **HDMI/DP not available on models with 13th Gen Intel,  Coreâ¢ i7-12700F processor, 13th Gen Intel,  Coreâ¢ i5-12400F processor. In order to connect to a display with these processors, purchasing a discrete graphics card would be necessary.",1 Media Card slot,Black with Mist Blue Mesh,,Dell Multimedia Keyboard-KB216 Black (English),,,,No Optical Drive,"Windows 11 Home, English, French, Spanish",20240810071151129c0a480bdb64c468,Y,4.94,Activate Your Microsoft 365 For A 30 Day Trial,McAfee+ Premium 30-day trial,1Y Basic Onsite Service after remote diagnosis with Hardware-Only Support,,,,,,,,,,,,,Dell Optical Mouse - MS116 (Black),,
