TIME_SCRAPED_PST,PRODUCT_TYPE,URL,TITLE,PRICE,RATING,NO_OF_REVIEWS,OPERATING_SYSTEM,PROCESSOR_BRAND,PROCESSOR_FAMILY,PROCESSOR_GENERATION,CPU_SPEED,GRAPHICS_BRAND,GRAPHICS_FAMILY,GRAPHICS_RAM,GRAPHICS_RAM_TYPE,RAM_MEMORY,RAM_TYPE,RAM_SPEED,STORAGE_SIZE,STORAGE_TYPE,STORAGE_OTHERS,DISPLAY_SIZE,DISPLAY_RESOLUTION,DISPLAY_REFRESH_RATE,DISPLAY_OTHERS,HASH_ID,COSMOS_DB,DISPLAY_REFRESH,WARRANTY,CPU_CACHE,CPU_CORES,CPU_THREADS,None,LINE_CORD
2024-08-13T01:40:47.000000,desktop,https://www.lenovo.com/us/en/p/desktops/legion-desktops/legion-t-series-towers/Legion-Tower-5-Gen-8-AMD/90ux0013us,Legion Tower 5 Gen 8 (AMD) with RTX 4070 Ti Super,$2299.99,4.5,236,Windows 11 Home 64,AMD,Ryzen 7,7700,3.80 GHz up to 5.30 GHz,NVIDIA,GeForce RTX 4070 Ti SUPER,16GB,GDDR6X,32 GB,DDR5,5200MHz,1 TB,SSD,M.2 2280 PCIe Gen4 Performance TLC,,,,,20240813084047276d99a8ab84e9b409,Y,,1 Year Mail-in,,,,,
2024-08-13T01:40:39.000000,desktop,https://www.lenovo.com/us/en/p/desktops/legion-desktops/legion-t-series-towers/Legion-Tower-5-Gen-8-AMD/90ux0012us,Legion Tower 5 Gen 8 (AMD) with RTX 4070 Super,$2079.99,4.5,236,Windows 11 Home 64,AMD,Ryzen 7,7700,5.30 GHz,NVIDIA,GeForce RTX 4070 SUPER,12 GB,GDDR6X,16 GB,DDR5,5200 MHz,1 TB,SSD,M.2 2280 PCIe Gen4 Performance TLC,,,,,2024081308403931077b005d686b247e,Y,,1 Year Mail-in,,,,,
2024-08-13T01:40:31.000000,desktop,https://www.lenovo.com/us/en/p/desktops/legion-desktops/legion-t-series-towers/Legion-Tower-5-Gen-8-AMD/90ux000xus,Legion Tower 5 Gen 8 (AMD) with RX 7600,$1229.99,4.5,236,Windows 11 Home 64,AMD,Ryzen 7,7700,3.80 GHz up to 5.30 GHz,AMD,Radeon RX 7600,8 GB,GDDR6,16 GB,DDR5,5200MHz,1 TB,SSD,M.2 2280 PCIe Gen4 Performance TLC,,,,,20240813084031560a880600de6794e5,Y,,1 Year Mail-in,,,,,
2024-08-13T01:40:24.000000,desktop,https://www.lenovo.com/us/en/p/desktops/legion-desktops/legion-t-series-towers/Legion-Tower-5-Gen-8-AMD/90ux0014us,Legion Tower 5 Gen 8 (AMD) with RX 7600,$1099.99,4.5,236,Windows 11 Home 64,AMD,Ryzen 5,7600,5.10 GHz,AMD,Radeon RX 7600,8 GB,GDDR6,16 GB,DDR5,5200 MHz,512 GB,SSD,M.2 2280 PCIe Gen4 Performance TLC,,,,,20240813084024109c0a16251595e49b,Y,,1 Year Mail-in,,,,,
2024-08-13T01:40:10.000000,laptop,https://www.lenovo.com/us/en/p/laptops/thinkpad/thinkpadp/ThinkPad-P16v-16-inch-Intel-Mobile-Workstation/21fc0029us,ThinkPad P16v Intel (16″) Mobile Workstation,$1639.00,4.4,157,Windows 11 Pro 64,Intel,Core i7,13th Generation (13700H),"E-cores up to 3.70 GHz, P-cores up to 5.00 GHz",NVIDIA,RTX A1000,6 GB,GDDR6,16 GB,DDR5,5200MHz,512 GB,SSD,M.2 2280 PCIe Gen4 Performance TLC Opal,"16""",3840 x 2400,60Hz,WQUXGA IPS Anti-Glare Non-Touch HDR 400 100%DCI-P3 800 nits Low Blue Light,20240813084010026adf27e2439e44a7,Y,,1 Year Standard Depot Warranty,,,,,
2024-08-13T01:40:00.000000,laptop,https://www.lenovo.com/us/en/p/laptops/yoga/yoga-2-in-1-series/Lenovo-Yoga-7i-2-in-1-Gen-9-(14-inch-Intel)/83dj0003us,Yoga 7i 2-in-1 (14” Intel),$719.99,4.8,18,Windows 11 Home 64,Intel,Core Ultra 5,125U,4.30 GHz,Intel,Integrated Graphics,,,16 GB,LPDDR5X,7467MHz,1 TB,SSD,M.2 2242 PCIe Gen4 TLC,"14""",1920 x 1200,,WUXGA IPS Glare Touch 45%NTSC 300 nits Glass,20240813084000413f67c8f149303460,Y,60Hz,1 Year Courier or Carry-in,,,,,
2024-08-13T01:39:51.000000,laptop,https://www.lenovo.com/us/en/p/laptops/ideapad/ideapad-flex-series/IdeaPad-Flex-5i-Gen-7-14-inch-Intel/82r700l5us,IdeaPad Flex 5i (14” Intel) - Storm Grey,$679.99,4.1,139,Windows 11 Home in S mode 64,Intel,Core i5,12th Gen (1235U),4.40 GHz,Intel,Iris Xe Graphics,,,8 GB,LPDDR4X,4266MHz,512 GB,SSD,M.2 2242 PCIe Gen4 TLC,"14""",1920 x 1200,60Hz,"WUXGA, IPS, Glare, Touch, 45%NTSC, 300 nits",20240813083951904b35cace15395473,Y,,1 Year Courier or Carry-in,,,,,
2024-08-13T01:39:44.000000,laptop,https://www.lenovo.com/us/en/p/laptops/thinkpad/thinkpadl/ThinkPad-L13-Gen-3-13-inch-Intel/21b3s0kc00,ThinkPad L13 Gen 3 Intel (13”) - Thunder Black,$649.00,4.4,39,Windows 11 Pro 64,Intel,Core i5,12th Generation (1245U),4.40 GHz,Intel,Iris Xe Graphics,,,16 GB,DDR4,3200MHz,256 GB,SSD,M.2 2242 PCIe Gen4 TLC Opal,"13.3""",1920 x 1200,,"WUXGA, IPS, Anti-Glare, Touch, 72%NTSC, 300 nits",20240813083944571a96fa6b28219447,Y,60Hz,1 Year Courier or Carry-in,,,,,
2024-08-13T01:39:35.000000,laptop,https://www.lenovo.com/us/en/p/laptops/ideapad/ideapad-flex-series/IdeaPad-Flex-5i-Gen-7-14-inch-Intel/82r700l4us,IdeaPad Flex 5i (14” Intel) - Storm Grey,$549.99,4.1,139,Windows 11 Home in S mode 64,Intel,Core i3,12th Generation (i3-1215U),4.40 GHz,Intel,UHD Graphics,,,8 GB,LPDDR4X,4266MHz,256 GB,SSD,M.2 2242 PCIe Gen4 TLC,"14""",1920 x 1200,,WUXGA IPS Glare Touch 45% NTSC 300 nits,20240813083935494c4adeeab5cb74a4,Y,60Hz,1 Year Courier or Carry-in,,,,,
2024-08-13T01:39:27.000000,laptop,https://www.lenovo.com/us/en/p/laptops/lenovo/lenovo-edu-chromebooks/IdeaPad-3i-Gen-6-15-inch-Intel/82n4004eus,Lenovo 3i Chromebook (15” Intel) - Abyss Blue,$279.99,4.3,140,Chrome OS,Intel,Pentium Silver,N6000,3.30 GHz,Intel,UHD Graphics,,,4 GB,LPDDR4X,2933MHz,128 GB,eMMC,,"15.6""",1920 x 1080,60Hz,"FHD, IPS, Anti-Glare, Touch, 45%NTSC, 300 nits, Narrow Bezel",202408130839279850c4cbd607fd7464,Y,,1 Year Courier or Carry-in,,,,,
2024-08-10T00:38:09.000000,desktop,https://www.lenovo.com/us/en/p/workstations/thinkstation-p-series/ThinkStation-PX-Workstation/30ev002dus,ThinkStation PX Workstation,$25619.00,4.1,6,Windows 11 Pro for Workstations 64,Intel,Xeon Gold,5420+,4.10 GHz,NVIDIA,RTX A5500,24 GB,GDDR6,256 GB,DDR5,4400MHz,4 TB,SSD,M.2 2280 PCIe Gen4 Performance TLC Opal,,,,,20240810073809291c133b37afd8d4c8,Y,,3 Years On-site,,,,,C19 NEMA 5-20P (NORTH AMERICA 18A/125V)
2024-08-10T00:38:03.000000,desktop,https://www.lenovo.com/us/en/p/workstations/thinkstation-p-series/ThinkStation-P7-Workstation/30f3002sus,ThinkStation P7 Workstation,$21999.00,4.2,8,Windows 11 Pro for Workstations 64,Intel,Xeon,W9-3475X,4.80 GHz,NVIDIA,RTX A5500,24 GB,GDDR6,128 GB,DDR5,4800 MHz,4 TB,SSD,M.2 2280 PCIe Gen4 Performance TLC Opal,,,,,202408100738034319e26192bec19405,Y,,3 Years On-site,,,,,
2024-08-10T00:37:55.000000,desktop,https://www.lenovo.com/us/en/p/workstations/thinkstation-p-series/ThinkStation-P8-Workstation/30hh005jus,ThinkStation P8 Workstation,$21829.00,5.0,2,Windows 11 Pro 64,AMD,Ryzen Threadripper PRO,7975WX,5.30 GHz,NVIDIA,RTX 5000 Ada Generation,32 GB,GDDR6,64 GB,DDR5,4800MHz,2 TB,SSD,M.2 2280 PCIe Gen4 Performance TLC Opal,,,,,202408100737551864f1caf343ec4479,Y,,3 Years On-site,,,,,
